City,Filing_Method,Marital_Status,Children_or_No_Children_Status,Age_Range,Count_of_Tax_Filers
Cobourg ,Efile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
Cobourg ,Netfile,Married or Living common-law,No Children Declared,19 - 25,20
Cobourg ,Netfile,Married or Living common-law,With Children Declared,19 - 25,20
Cobourg ,Netfile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,20
Cobourg ,Paper,"Single, divorced, separated or widowed",With Children Declared,26 - 64,30
Cobourg ,Efile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,30
Cobourg ,Efile,Married or Living common-law,No Children Declared,19 - 25,40
Cobourg ,Efile,Married or Living common-law,With Children Declared,19 - 25,40
Cobourg ,Paper,"Single, divorced, separated or widowed",No Children Declared,18 and Under,50
Cobourg ,Paper,"Single, divorced, separated or widowed",No Children Declared,19 - 25,70
Cobourg ,Netfile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,70
Cobourg ,Paper,Married or Living common-law,With Children Declared,26 - 64,80
Cobourg ,Netfile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,170
Cobourg ,Efile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,200
Cobourg ,Paper,Married or Living common-law,No Children Declared,26 - 64,220
Cobourg ,Paper,"Single, divorced, separated or widowed",No Children Declared,26 - 64,230
Cobourg ,Paper,"Single, divorced, separated or widowed",No Children Declared,65 and Older,250
Cobourg ,Netfile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,410
Cobourg ,Paper,Married or Living common-law,No Children Declared,65 and Older,420
Cobourg ,Efile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,430
Cobourg ,Netfile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,440
Cobourg ,Efile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,610
Cobourg ,Netfile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,730
Cobourg ,Netfile,Married or Living common-law,No Children Declared,65 and Older,810
Cobourg ,Netfile,Married or Living common-law,With Children Declared,26 - 64,810
Cobourg ,Netfile,Married or Living common-law,No Children Declared,26 - 64,980
Cobourg ,Efile,Married or Living common-law,With Children Declared,26 - 64,1280
Cobourg ,Efile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,1430
Cobourg ,Efile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,1710
Cobourg ,Efile,Married or Living common-law,No Children Declared,26 - 64,1800
Cobourg ,Efile,Married or Living common-law,No Children Declared,65 and Older,2380
Cold Lake ,Paper,Married or Living common-law,With Children Declared,18 and Under,0
Cold Lake ,Paper,Married or Living common-law,With Children Declared,19 - 25,0
Cold Lake ,Paper,Married or Living common-law,With Children Declared,65 and Older,0
Cold Lake ,Paper,"Single, divorced, separated or widowed",With Children Declared,19 - 25,0
Cold Lake ,Paper,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
Cold Lake ,Paper,Unstated,No Children Declared,18 and Under,0
Cold Lake ,Paper,Unstated,No Children Declared,26 - 64,0
Cold Lake ,Paper,Unstated,No Children Declared,65 and Older,0
Cold Lake ,Paper,Unstated,With Children Declared,26 - 64,0
Cold Lake ,Netfile,Married or Living common-law,No Children Declared,18 and Under,0
Cold Lake ,Netfile,Married or Living common-law,With Children Declared,65 and Older,0
Cold Lake ,Netfile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
Cold Lake ,Netfile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
Cold Lake ,Efile,Married or Living common-law,No Children Declared,18 and Under,0
Cold Lake ,Efile,Married or Living common-law,With Children Declared,65 and Older,0
Cold Lake ,Efile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
Cold Lake ,Paper,Married or Living common-law,No Children Declared,19 - 25,10
Cold Lake ,Netfile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,30
Cold Lake ,Paper,"Single, divorced, separated or widowed",With Children Declared,26 - 64,60
Cold Lake ,Netfile,Married or Living common-law,With Children Declared,19 - 25,60
Cold Lake ,Paper,"Single, divorced, separated or widowed",No Children Declared,18 and Under,70
Cold Lake ,Efile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,70
Cold Lake ,Paper,"Single, divorced, separated or widowed",No Children Declared,65 and Older,80
Cold Lake ,Paper,"Single, divorced, separated or widowed",No Children Declared,19 - 25,90
Cold Lake ,Netfile,Married or Living common-law,No Children Declared,19 - 25,90
Cold Lake ,Netfile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,90
Cold Lake ,Paper,Married or Living common-law,No Children Declared,65 and Older,110
Cold Lake ,Efile,Married or Living common-law,With Children Declared,19 - 25,110
Cold Lake ,Netfile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,120
Cold Lake ,Efile,Married or Living common-law,No Children Declared,19 - 25,130
Cold Lake ,Paper,Married or Living common-law,With Children Declared,26 - 64,150
Cold Lake ,Efile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,170
Cold Lake ,Netfile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,180
Cold Lake ,Netfile,Married or Living common-law,No Children Declared,65 and Older,190
Cold Lake ,Paper,Married or Living common-law,No Children Declared,26 - 64,240
Cold Lake ,Paper,"Single, divorced, separated or widowed",No Children Declared,26 - 64,260
Cold Lake ,Efile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,280
Cold Lake ,Efile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,400
Cold Lake ,Efile,Married or Living common-law,No Children Declared,65 and Older,440
Cold Lake ,Netfile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,500
Cold Lake ,Efile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,660
Cold Lake ,Netfile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,760
Cold Lake ,Netfile,Married or Living common-law,No Children Declared,26 - 64,1090
Cold Lake ,Efile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,1270
Cold Lake ,Netfile,Married or Living common-law,With Children Declared,26 - 64,1410
Cold Lake ,Efile,Married or Living common-law,No Children Declared,26 - 64,1750
Cold Lake ,Efile,Married or Living common-law,With Children Declared,26 - 64,2060
Collingwood ,Paper,Married or Living common-law,No Children Declared,19 - 25,0
Collingwood ,Paper,Married or Living common-law,With Children Declared,65 and Older,0
Collingwood ,Paper,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
Collingwood ,Paper,"Single, divorced, separated or widowed",With Children Declared,19 - 25,0
Collingwood ,Paper,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
Collingwood ,Paper,Unstated,No Children Declared,19 - 25,0
Collingwood ,Paper,Unstated,No Children Declared,26 - 64,0
Collingwood ,Netfile,Married or Living common-law,No Children Declared,18 and Under,0
Collingwood ,Netfile,Married or Living common-law,With Children Declared,65 and Older,0
Collingwood ,Netfile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
Collingwood ,Efile,Married or Living common-law,No Children Declared,18 and Under,0
Collingwood ,Efile,Married or Living common-law,With Children Declared,18 and Under,0
Collingwood ,Efile,Married or Living common-law,With Children Declared,65 and Older,0
Collingwood ,Efile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
Collingwood ,Efile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
Collingwood ,Paper,Unstated,No Children Declared,65 and Older,10
Collingwood ,Netfile,Married or Living common-law,No Children Declared,19 - 25,20
Collingwood ,Netfile,Married or Living common-law,With Children Declared,19 - 25,20
Collingwood ,Efile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,20
Collingwood ,Paper,"Single, divorced, separated or widowed",With Children Declared,26 - 64,30
Collingwood ,Netfile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,30
Collingwood ,Efile,Married or Living common-law,With Children Declared,19 - 25,30
Collingwood ,Efile,Married or Living common-law,No Children Declared,19 - 25,50
Collingwood ,Paper,"Single, divorced, separated or widowed",No Children Declared,18 and Under,60
Collingwood ,Paper,"Single, divorced, separated or widowed",No Children Declared,19 - 25,90
Collingwood ,Netfile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,100
Collingwood ,Paper,Married or Living common-law,With Children Declared,26 - 64,110
Collingwood ,Efile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,220
Collingwood ,Netfile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,240
Collingwood ,Paper,"Single, divorced, separated or widowed",No Children Declared,65 and Older,270
Collingwood ,Paper,Married or Living common-law,No Children Declared,26 - 64,290
Collingwood ,Paper,"Single, divorced, separated or widowed",No Children Declared,26 - 64,310
Collingwood ,Efile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,370
Collingwood ,Netfile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,390
Collingwood ,Paper,Married or Living common-law,No Children Declared,65 and Older,410
Collingwood ,Netfile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,460
Collingwood ,Efile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,630
Collingwood ,Netfile,Married or Living common-law,No Children Declared,65 and Older,670
Collingwood ,Netfile,Married or Living common-law,With Children Declared,26 - 64,890
Collingwood ,Netfile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,900
Collingwood ,Netfile,Married or Living common-law,No Children Declared,26 - 64,980
Collingwood ,Efile,Married or Living common-law,With Children Declared,26 - 64,1360
Collingwood ,Efile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,1390
Collingwood ,Efile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,1470
Collingwood ,Efile,Married or Living common-law,No Children Declared,26 - 64,1800
Collingwood ,Efile,Married or Living common-law,No Children Declared,65 and Older,1970
Corner Brook ,Paper,Married or Living common-law,No Children Declared,19 - 25,0
Corner Brook ,Paper,Married or Living common-law,With Children Declared,19 - 25,0
Corner Brook ,Paper,Married or Living common-law,With Children Declared,65 and Older,0
Corner Brook ,Paper,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
Corner Brook ,Paper,Unstated,No Children Declared,18 and Under,0
Corner Brook ,Paper,Unstated,No Children Declared,19 - 25,0
Corner Brook ,Paper,Unstated,With Children Declared,26 - 64,0
Corner Brook ,Paper,Unstated,With Children Declared,65 and Older,0
Corner Brook ,Netfile,Married or Living common-law,With Children Declared,65 and Older,0
Corner Brook ,Netfile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
Corner Brook ,Efile,Married or Living common-law,With Children Declared,18 and Under,0
Corner Brook ,Efile,Married or Living common-law,With Children Declared,65 and Older,0
Corner Brook ,Efile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
Corner Brook ,Efile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
Corner Brook ,Paper,"Single, divorced, separated or widowed",With Children Declared,19 - 25,10
Corner Brook ,Netfile,Married or Living common-law,With Children Declared,19 - 25,20
Corner Brook ,Paper,Unstated,No Children Declared,26 - 64,30
Corner Brook ,Paper,Unstated,No Children Declared,65 and Older,30
Corner Brook ,Netfile,Married or Living common-law,No Children Declared,19 - 25,40
Corner Brook ,Netfile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,40
Corner Brook ,Efile,Married or Living common-law,With Children Declared,19 - 25,60
Corner Brook ,Efile,Married or Living common-law,No Children Declared,19 - 25,70
Corner Brook ,Efile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,80
Corner Brook ,Paper,"Single, divorced, separated or widowed",No Children Declared,18 and Under,120
Corner Brook ,Paper,"Single, divorced, separated or widowed",With Children Declared,26 - 64,140
Corner Brook ,Netfile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,170
