CMA_or_CA,Filing_Method,Major_Source_of_Income,Total_Income_Range,Complexity,Count_of_Taxfilers
Canmore CA,Efile,Pension,"$100,000 and Above",Complex,70
Canmore CA,Paper,Employment,"Between $50,000 and $99,999",Complex,60
Canmore CA,Netfile,Employment,"Less than $25,000",Complex,60
Canmore CA,Netfile,Investment,"$100,000 and Above",Complex,60
Canmore CA,Netfile,Pension,"Between $25,000 and $49,999",Simple,60
Canmore CA,Efile,Pension,"Between $50,000 and $99,999",Simple,60
Canmore CA,Paper,Pension,"Between $25,000 and $49,999",Simple,50
Canmore CA,Netfile,Pension,"Less than $25,000",Simple,50
Canmore CA,Netfile,Pension,"Between $50,000 and $99,999",Simple,50
Canmore CA,Paper,Employment,"$100,000 and Above",Complex,40
Canmore CA,Paper,Investment,"$100,000 and Above",Complex,40
Canmore CA,Paper,Other,"Less than $25,000",Simple,40
Canmore CA,Paper,Pension,"Less than $25,000",Simple,40
Canmore CA,Paper,Pension,"Between $25,000 and $49,999",Complex,40
Canmore CA,Paper,Pension,"Between $50,000 and $99,999",Complex,40
Canmore CA,Paper,Self-employment,"Less than $25,000",Complex,40
Canmore CA,Netfile,Investment,"Less than $25,000",Complex,40
Canmore CA,Netfile,Investment,"Between $25,000 and $49,999",Complex,40
Canmore CA,Netfile,Self-employment,"Between $25,000 and $49,999",Complex,40
Canmore CA,Netfile,Self-employment,"Between $50,000 and $99,999",Complex,40
Canmore CA,Efile,No income,"Less than $25,000",Simple,40
Canmore CA,Efile,Other,"Less than $25,000",Complex,40
Canmore CA,Efile,Other,"Between $25,000 and $49,999",Complex,40
Canmore CA,Efile,Other,"Between $25,000 and $49,999",Simple,40
Canmore CA,Efile,Self-employment,"$100,000 and Above",Complex,40
Canmore CA,Paper,Employment,"Between $25,000 and $49,999",Complex,30
Canmore CA,Paper,Employment,"$100,000 and Above",Simple,30
Canmore CA,Paper,Pension,"Less than $25,000",Complex,30
Canmore CA,Paper,Pension,"Between $50,000 and $99,999",Simple,30
Canmore CA,Netfile,Other,"Between $25,000 and $49,999",Complex,30
Canmore CA,Netfile,Other,"Between $25,000 and $49,999",Simple,30
Canmore CA,Netfile,Pension,"Less than $25,000",Complex,30
Canmore CA,Netfile,Pension,"$100,000 and Above",Complex,30
Canmore CA,Efile,Other,"$100,000 and Above",Complex,30
Canmore CA,Paper,No income,"Less than $25,000",Simple,20
Canmore CA,Paper,Employment,"Less than $25,000",Complex,20
Canmore CA,Paper,Investment,"Between $25,000 and $49,999",Complex,20
Canmore CA,Paper,Investment,"Between $50,000 and $99,999",Complex,20
Canmore CA,Paper,Pension,"$100,000 and Above",Complex,20
Canmore CA,Paper,Self-employment,"Between $25,000 and $49,999",Complex,20
Canmore CA,Paper,Self-employment,"Between $50,000 and $99,999",Complex,20
Canmore CA,Netfile,No income,"Less than $25,000",Simple,20
Canmore CA,Netfile,Other,"Less than $25,000",Complex,20
Canmore CA,Efile,Investment,"Less than $25,000",Simple,20
Canmore CA,Efile,Other,"Between $50,000 and $99,999",Complex,20
Canmore CA,Efile,Other,"Between $50,000 and $99,999",Simple,20
Canmore CA,Paper,Investment,"Less than $25,000",Complex,10
Canmore CA,Paper,Other,"Less than $25,000",Complex,10
Canmore CA,Paper,Other,"Between $25,000 and $49,999",Complex,10
Canmore CA,Paper,Other,"Between $25,000 and $49,999",Simple,10
Canmore CA,Paper,Self-employment,"$100,000 and Above",Complex,10
Canmore CA,Netfile,Pension,"$100,000 and Above",Simple,10
Canmore CA,Efile,Other,"$100,000 and Above",Simple,10
Canmore CA,Paper,No income,"Less than $25,000",Complex,0
Canmore CA,Paper,Investment,"Less than $25,000",Simple,0
Canmore CA,Paper,Investment,"Between $50,000 and $99,999",Simple,0
Canmore CA,Paper,Other,"Between $50,000 and $99,999",Complex,0
Canmore CA,Paper,Other,"Between $50,000 and $99,999",Simple,0
Canmore CA,Paper,Other,"$100,000 and Above",Complex,0
Canmore CA,Paper,Other,"$100,000 and Above",Simple,0
Canmore CA,Paper,Pension,"$100,000 and Above",Simple,0
Canmore CA,Paper,Self-employment,"Less than $25,000",Simple,0
Canmore CA,Paper,Self-employment,"Between $25,000 and $49,999",Simple,0
Canmore CA,Paper,Self-employment,"Between $50,000 and $99,999",Simple,0
Canmore CA,Netfile,Investment,"Less than $25,000",Simple,0
Canmore CA,Netfile,Investment,"Between $25,000 and $49,999",Simple,0
Canmore CA,Netfile,Other,"Between $50,000 and $99,999",Complex,0
Canmore CA,Netfile,Other,"Between $50,000 and $99,999",Simple,0
Canmore CA,Netfile,Other,"$100,000 and Above",Complex,0
Canmore CA,Netfile,Other,"$100,000 and Above",Simple,0
Canmore CA,Netfile,Self-employment,"$100,000 and Above",Complex,0
Canmore CA,Efile,Investment,"Between $25,000 and $49,999",Simple,0
Canmore CA,Efile,Investment,"$100,000 and Above",Simple,0
Canmore CA,Efile,Pension,"$100,000 and Above",Simple,0
Canmore CA,Efile,Self-employment,"Less than $25,000",Simple,0
Cape Breton CA,Efile,Employment,"Between $25,000 and $49,999",Simple,"6,140"
Cape Breton CA,Efile,Employment,"Less than $25,000",Simple,"5,760"
Cape Breton CA,Efile,Pension,"Less than $25,000",Simple,"5,520"
Cape Breton CA,Efile,Employment,"Between $50,000 and $99,999",Simple,"4,740"
Cape Breton CA,Netfile,Employment,"Between $25,000 and $49,999",Simple,"3,980"
Cape Breton CA,Efile,Other,"Less than $25,000",Simple,"3,560"
Cape Breton CA,Netfile,Employment,"Between $50,000 and $99,999",Simple,"3,530"
Cape Breton CA,Paper,Other,"Less than $25,000",Simple,"3,290"
Cape Breton CA,Paper,Pension,"Less than $25,000",Simple,"3,290"
Cape Breton CA,Netfile,Pension,"Less than $25,000",Simple,"3,200"
Cape Breton CA,Efile,Pension,"Between $25,000 and $49,999",Simple,"3,120"
Cape Breton CA,Netfile,Employment,"Less than $25,000",Simple,"2,850"
Cape Breton CA,Netfile,Other,"Less than $25,000",Simple,"2,460"
Cape Breton CA,Netfile,Pension,"Between $25,000 and $49,999",Simple,"1,660"
Cape Breton CA,Paper,Pension,"Between $25,000 and $49,999",Simple,"1,550"
Cape Breton CA,Efile,Other,"Between $25,000 and $49,999",Simple,"1,390"
Cape Breton CA,Paper,Employment,"Between $25,000 and $49,999",Simple,"1,270"
Cape Breton CA,Paper,Employment,"Less than $25,000",Simple,"1,160"
Cape Breton CA,Paper,No income,"Less than $25,000",Simple,"1,070"
Cape Breton CA,Efile,Employment,"Between $50,000 and $99,999",Complex,"1,050"
Cape Breton CA,Efile,Employment,"$100,000 and Above",Simple,950
Cape Breton CA,Efile,Pension,"Less than $25,000",Complex,920
Cape Breton CA,Paper,Employment,"Between $50,000 and $99,999",Simple,890
Cape Breton CA,Efile,Pension,"Between $50,000 and $99,999",Simple,890
Cape Breton CA,Efile,No income,"Less than $25,000",Simple,860
Cape Breton CA,Efile,Pension,"Between $25,000 and $49,999",Complex,790
Cape Breton CA,Efile,Employment,"Between $25,000 and $49,999",Complex,730
Cape Breton CA,Netfile,Other,"Between $25,000 and $49,999",Simple,680
Cape Breton CA,Netfile,No income,"Less than $25,000",Simple,670
Cape Breton CA,Paper,Pension,"Less than $25,000",Complex,620
Cape Breton CA,Efile,Pension,"Between $50,000 and $99,999",Complex,580
Cape Breton CA,Netfile,Employment,"$100,000 and Above",Simple,560
Cape Breton CA,Netfile,Pension,"Between $50,000 and $99,999",Simple,560
Cape Breton CA,Netfile,Employment,"Between $50,000 and $99,999",Complex,500
Cape Breton CA,Efile,Employment,"$100,000 and Above",Complex,490
Cape Breton CA,Paper,Pension,"Between $50,000 and $99,999",Simple,360
Cape Breton CA,Efile,Self-employment,"Less than $25,000",Complex,350
Cape Breton CA,Netfile,Employment,"Between $25,000 and $49,999",Complex,340
Cape Breton CA,Efile,Investment,"Between $50,000 and $99,999",Complex,340
Cape Breton CA,Efile,Investment,"$100,000 and Above",Complex,330
Cape Breton CA,Paper,Other,"Between $25,000 and $49,999",Simple,310
Cape Breton CA,Paper,Pension,"Between $25,000 and $49,999",Complex,310
Cape Breton CA,Netfile,Pension,"Between $25,000 and $49,999",Complex,300
Cape Breton CA,Efile,Employment,"Less than $25,000",Complex,300
Cape Breton CA,Efile,Other,"Between $25,000 and $49,999",Complex,280
Cape Breton CA,Efile,Investment,"Between $25,000 and $49,999",Complex,230
Cape Breton CA,Efile,Other,"Less than $25,000",Complex,220
Cape Breton CA,Paper,Employment,"Between $25,000 and $49,999",Complex,210
Cape Breton CA,Netfile,Pension,"Less than $25,000",Complex,210
Cape Breton CA,Paper,Other,"Less than $25,000",Complex,200
Cape Breton CA,Netfile,Pension,"Between $50,000 and $99,999",Complex,200
Cape Breton CA,Efile,Other,"Between $50,000 and $99,999",Simple,190
Cape Breton CA,Efile,Self-employment,"Between $25,000 and $49,999",Complex,190
Cape Breton CA,Efile,Self-employment,"Between $50,000 and $99,999",Complex,190
Cape Breton CA,Paper,Employment,"Between $50,000 and $99,999",Complex,180
Cape Breton CA,Netfile,Employment,"$100,000 and Above",Complex,180
Cape Breton CA,Paper,Employment,"Less than $25,000",Complex,160
Cape Breton CA,Paper,Pension,"Between $50,000 and $99,999",Complex,160
Cape Breton CA,Paper,Employment,"$100,000 and Above",Simple,150
Cape Breton CA,Efile,Self-employment,"$100,000 and Above",Complex,150
Cape Breton CA,Efile,Investment,"Less than $25,000",Complex,130
Cape Breton CA,Netfile,Employment,"Less than $25,000",Complex,100
Cape Breton CA,Netfile,Other,"Less than $25,000",Complex,100
Cape Breton CA,Efile,Other,"Between $50,000 and $99,999",Complex,100
Cape Breton CA,Paper,Self-employment,"Less than $25,000",Complex,90
Cape Breton CA,Netfile,Other,"Between $25,000 and $49,999",Complex,90
Cape Breton CA,Netfile,Other,"Between $50,000 and $99,999",Simple,90
Cape Breton CA,Netfile,Self-employment,"Less than $25,000",Complex,80
Cape Breton CA,Efile,Pension,"$100,000 and Above",Complex,80
Cape Breton CA,Paper,Other,"Between $25,000 and $49,999",Complex,70
Cape Breton CA,Paper,Employment,"$100,000 and Above",Complex,60
Cape Breton CA,Paper,Other,"Between $50,000 and $99,999",Simple,50
Cape Breton CA,Efile,Other,"$100,000 and Above",Simple,50
Cape Breton CA,Netfile,Self-employment,"Between $25,000 and $49,999",Complex,40
Cape Breton CA,Efile,Investment,"Less than $25,000",Simple,40
Cape Breton CA,Efile,Other,"$100,000 and Above",Complex,40
Cape Breton CA,Efile,Pension,"$100,000 and Above",Simple,40
Cape Breton CA,Paper,Investment,"Less than $25,000",Complex,30
Cape Breton CA,Paper,Other,"Between $50,000 and $99,999",Complex,30
Cape Breton CA,Paper,Self-employment,"Between $25,000 and $49,999",Complex,30
Cape Breton CA,Netfile,Investment,"Less than $25,000",Complex,30
Cape Breton CA,Netfile,Pension,"$100,000 and Above",Simple,30
Cape Breton CA,Netfile,Self-employment,"Between $50,000 and $99,999",Complex,30
Cape Breton CA,Paper,No income,"Less than $25,000",Complex,20
Cape Breton CA,Paper,Investment,"Less than $25,000",Simple,20
Cape Breton CA,Paper,Investment,"Between $50,000 and $99,999",Complex,20
Cape Breton CA,Paper,Pension,"$100,000 and Above",Complex,20
Cape Breton CA,Paper,Self-employment,"Between $50,000 and $99,999",Complex,20
Cape Breton CA,Paper,Self-employment,"$100,000 and Above",Complex,20
Cape Breton CA,Netfile,Investment,"Less than $25,000",Simple,20
Cape Breton CA,Netfile,Investment,"Between $25,000 and $49,999",Complex,20
Cape Breton CA,Netfile,Investment,"Between $50,000 and $99,999",Complex,20
Cape Breton CA,Netfile,Other,"Between $50,000 and $99,999",Complex,20
Cape Breton CA,Paper,Investment,"Between $25,000 and $49,999",Complex,10
Cape Breton CA,Paper,Investment,"$100,000 and Above",Complex,10
Cape Breton CA,Paper,Other,"$100,000 and Above",Complex,10
Cape Breton CA,Paper,Other,"$100,000 and Above",Simple,10
Cape Breton CA,Netfile,Investment,"$100,000 and Above",Complex,10
Cape Breton CA,Netfile,Other,"$100,000 and Above",Simple,10
Cape Breton CA,Netfile,Pension,"$100,000 and Above",Complex,10
Cape Breton CA,Netfile,Self-employment,"$100,000 and Above",Complex,10
Cape Breton CA,Efile,No income,"Less than $25,000",Complex,10
Cape Breton CA,Paper,Investment,"Between $50,000 and $99,999",Simple,0
Cape Breton CA,Paper,Multiple sources of income,"Less than $25,000",Complex,0
Cape Breton CA,Paper,Multiple sources of income,"Less than $25,000",Simple,0
Cape Breton CA,Paper,Pension,"$100,000 and Above",Simple,0
Cape Breton CA,Paper,Self-employment,"Less than $25,000",Simple,0
Cape Breton CA,Paper,Self-employment,"$100,000 and Above",Simple,0
Cape Breton CA,Netfile,No income,"Less than $25,000",Complex,0
Cape Breton CA,Netfile,Other,"$100,000 and Above",Complex,0
Cape Breton CA,Efile,Investment,"Between $50,000 and $99,999",Simple,0
Cape Breton CA,Efile,Multiple sources of income,"Less than $25,000",Complex,0
Cape Breton CA,Efile,Multiple sources of income,"Less than $25,000",Simple,0
Cape Breton CA,Efile,Multiple sources of income,"$100,000 and Above",Complex,0
Cape Breton CA,Efile,Self-employment,"$100,000 and Above",Simple,0
Centre Wellington CA,Efile,Employment,"Between $50,000 and $99,999",Simple,"1,660"
Centre Wellington CA,Efile,Employment,"Between $25,000 and $49,999",Simple,"1,440"
Centre Wellington CA,Netfile,Employment,"Between $50,000 and $99,999",Simple,"1,400"
Centre Wellington CA,Efile,Employment,"Less than $25,000",Simple,"1,310"
Centre Wellington CA,Netfile,Employment,"Between $25,000 and $49,999",Simple,"1,070"
Centre Wellington CA,Efile,Employment,"Between $50,000 and $99,999",Complex,850
Centre Wellington CA,Efile,Pension,"Less than $25,000",Simple,800
Centre Wellington CA,Efile,Pension,"Between $25,000 and $49,999",Complex,760
Centre Wellington CA,Netfile,Employment,"Less than $25,000",Simple,720
Centre Wellington CA,Efile,Pension,"Between $25,000 and $49,999",Simple,660
Centre Wellington CA,Efile,Pension,"Between $50,000 and $99,999",Complex,550
Centre Wellington CA,Efile,Employment,"Between $25,000 and $49,999",Complex,500
Centre Wellington CA,Efile,Pension,"Less than $25,000",Complex,460
Centre Wellington CA,Efile,Other,"Less than $25,000",Simple,440
Centre Wellington CA,Efile,Employment,"$100,000 and Above",Complex,420
Centre Wellington CA,Efile,Employment,"$100,000 and Above",Simple,350
Centre Wellington CA,Efile,Self-employment,"Less than $25,000",Complex,340
Centre Wellington CA,Netfile,Pension,"Between $25,000 and $49,999",Simple,310
Centre Wellington CA,Netfile,Employment,"$100,000 and Above",Simple,300
Centre Wellington CA,Netfile,Pension,"Less than $25,000",Simple,290
Centre Wellington CA,Netfile,Employment,"Between $50,000 and $99,999",Complex,280
Centre Wellington CA,Efile,Investment,"Between $50,000 and $99,999",Complex,270
Centre Wellington CA,Efile,Employment,"Less than $25,000",Complex,250
Centre Wellington CA,Netfile,Other,"Less than $25,000",Simple,240
Centre Wellington CA,Efile,Investment,"$100,000 and Above",Complex,240
Centre Wellington CA,Efile,Pension,"Between $50,000 and $99,999",Simple,240
Centre Wellington CA,Paper,Employment,"Between $50,000 and $99,999",Simple,220
Centre Wellington CA,Efile,Investment,"Between $25,000 and $49,999",Complex,220
Centre Wellington CA,Efile,Self-employment,"Between $25,000 and $49,999",Complex,220
Centre Wellington CA,Paper,Employment,"Less than $25,000",Simple,200
Centre Wellington CA,Paper,Pension,"Less than $25,000",Simple,170
Centre Wellington CA,Efile,Other,"Less than $25,000",Complex,170
Centre Wellington CA,Netfile,Pension,"Between $25,000 and $49,999",Complex,160
Centre Wellington CA,Paper,Employment,"Between $25,000 and $49,999",Simple,150
Centre Wellington CA,Paper,Pension,"Between $25,000 and $49,999",Simple,140
Centre Wellington CA,Netfile,Employment,"$100,000 and Above",Complex,140
Centre Wellington CA,Efile,Self-employment,"Between $50,000 and $99,999",Complex,140
Centre Wellington CA,Netfile,Employment,"Between $25,000 and $49,999",Complex,130
Centre Wellington CA,Netfile,Pension,"Between $50,000 and $99,999",Simple,120
Centre Wellington CA,Efile,Investment,"Less than $25,000",Complex,120
Centre Wellington CA,Efile,No income,"Less than $25,000",Simple,110
Centre Wellington CA,Netfile,Pension,"Between $50,000 and $99,999",Complex,100
Centre Wellington CA,Paper,Other,"Less than $25,000",Simple,80
Centre Wellington CA,Paper,Pension,"Less than $25,000",Complex,80
Centre Wellington CA,Paper,Pension,"Between $25,000 and $49,999",Complex,80
Centre Wellington CA,Netfile,Pension,"Less than $25,000",Complex,80
Centre Wellington CA,Netfile,Self-employment,"Less than $25,000",Complex,80
Centre Wellington CA,Efile,Other,"Between $25,000 and $49,999",Simple,80
Centre Wellington CA,Efile,Pension,"$100,000 and Above",Complex,80
Centre Wellington CA,Paper,Employment,"Between $50,000 and $99,999",Complex,70
Centre Wellington CA,Netfile,No income,"Less than $25,000",Simple,70
Centre Wellington CA,Efile,Other,"Between $25,000 and $49,999",Complex,70
Centre Wellington CA,Paper,Pension,"Between $50,000 and $99,999",Simple,60
Centre Wellington CA,Netfile,Employment,"Less than $25,000",Complex,60
Centre Wellington CA,Efile,Self-employment,"$100,000 and Above",Complex,60
Centre Wellington CA,Paper,Pension,"Between $50,000 and $99,999",Complex,50
Centre Wellington CA,Paper,Employment,"Between $25,000 and $49,999",Complex,40
